allele,gene_family,whitelisted_taxa,product_name,scope,type,subtype,class,subclass,refseq_protein_accession,refseq_nucleotide_accession,curated_refseq_start,genbank_protein_accession,genbank_nucleotide_accession,genbank_strand,genbank_start,genbank_stop,refseq_strand,refseq_start,refseq_stop,pubmed_reference,blacklisted_taxa,synonyms,hierarchy_node,db_version,refseq_gene,refseq_protein,refseq_genome,refseq_organism,refseq_parent,rrefseq_protein,refseq_same_parent,genbank_organsim_nuc,genbank_strain_nuc,genbank_organsim_prot,genbank_strain_prot,strain,parent_taxon
,aac(3)-Id,,aminoglycoside N-acetyltransferase AAC(3)-Id,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_003155734.1,NG_052489.1,No,CAO78542.1,AM749810.1,+,2176,2652,+,101.0,577.0,,,,aac(3)-Id,2023-11-15.1,Pseudomonas aeruginosa 658 aac(3)-Id,aminoglycoside N-acetyltransferase AAC(3)-Id,,Pseudomonas aeruginosa,Pseudomonadaceae,aminoglycoside N-acetyltransferase AAC(3)-Id,Pseudomonadaceae,Pseudomonas aeruginosa,658,Pseudomonas aeruginosa,658,Pseudomonas aeruginosa 658,http://www.wikidata.org/entity/Q31856
,aac(3)-If,,aminoglycoside N-acetyltransferase AAC(3)-If,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_071846359.1,NG_052479.1,No,ABN10340.1,EF207718.1,+,540,1004,+,101.0,565.0,,,,aac(3)-If,2023-11-15.1,Pseudomonas aeruginosa YMC 05/5/1103 aac(3)-If,aminoglycoside N-acetyltransferase AAC(3)-If,,Pseudomonas aeruginosa,Pseudomonas aeruginosa,aminoglycoside N-acetyltransferase AAC(3)-If,Pseudomonas aeruginosa,Pseudomonas aeruginosa,YMC 05/5/1103,Pseudomonas aeruginosa,YMC 05/5/1103,Pseudomonas aeruginosa YMC 05/5/1103,http://www.wikidata.org/entity/Q31856
,aac(3)-Ig,,aminoglycoside N-acetyltransferase AAC(3)-Ig,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_011468318.1,NG_048571.1,No,ABD81100.1,CP000282.1,+,2333620,2334096,+,101.0,577.0,,,,aac(3)-Ig,2023-11-15.1,Saccharophagus degradans 2-40 aac(3)-Ig,aminoglycoside N-acetyltransferase AAC(3)-Ig,,Saccharophagus degradans 2-40,Saccharophagus degradans,aminoglycoside N-acetyltransferase AAC(3)-Ig,Saccharophagus degradans,Saccharophagus degradans 2-40,2-40,Saccharophagus degradans 2-40,2-40,Saccharophagus degradans 2-40,http://www.wikidata.org/entity/Q7396606
,aac(3)-Ii,,aminoglycoside N-acetyltransferase AAC(3)-Ii,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_011540937.1,NG_048573.1,No,ABF52347.1,CP000356.1,-,638262,638720,+,101.0,559.0,,,,aac(3)-Ii,2023-11-15.1,Sphingopyxis alaskensis RB2256 aac(3)-Ii,aminoglycoside N-acetyltransferase AAC(3)-Ii,,Sphingopyxis alaskensis RB2256,Sphingopyxis alaskensis,aminoglycoside N-acetyltransferase AAC(3)-Ii,Sphingopyxis alaskensis,Sphingopyxis alaskensis RB2256,RB2256,Sphingopyxis alaskensis RB2256,RB2256,Sphingopyxis alaskensis RB2256,http://www.wikidata.org/entity/Q21324563
,aac(3)-VIII,,aminoglycoside N-acetyltransferase AAC(3)-VIII,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_031136588.1,NG_047258.1,No,BAD95833.1,AB211959.1,-,30749,31612,+,101.0,964.0,,,,aac(3)-VIII,2023-11-15.1,Streptomyces fradiae NBRC12773 aac(3)-VIII,aminoglycoside N-acetyltransferase AAC(3)-VIII,,Streptomyces fradiae,Streptomyces,aminoglycoside N-acetyltransferase AAC(3)-VIII,Streptomyces,Streptomyces fradiae,NBRC12773,Streptomyces fradiae,NBRC12773,Streptomyces fradiae NBRC12773,http://www.wikidata.org/entity/Q7623383
,aac(3)-VIII,,aminoglycoside N-acetyltransferase AAC(3)-VIII,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_063840270.1,NG_047259.1,No,CAH58703.1,AJ843080.1,-,26934,27797,+,101.0,964.0,,,,aac(3)-VIII,2023-11-15.1,Streptomyces fradiae MCIMB 8233 aac(3)-VIII,aminoglycoside N-acetyltransferase AAC(3)-VIII,,Streptomyces fradiae,Streptomyces fradiae,aminoglycoside N-acetyltransferase AAC(3)-VIII,Streptomyces fradiae,Streptomyces fradiae,MCIMB 8233,Streptomyces fradiae,MCIMB 8233,Streptomyces fradiae MCIMB 8233,http://www.wikidata.org/entity/Q7623383
,aac(3)-XI,,aminoglycoside N-acetyltransferase AAC(3)-XI,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_046095284.1,NG_050595.1,No,CQD12588.1,CTEG01000046.1,+,12458,12904,+,101.0,547.0,,,,aac(3)-XI,2023-11-15.1,Corynebacterium striatum BM4687 aac(3)-XI,aminoglycoside N-acetyltransferase AAC(3)-XI,,Corynebacterium striatum,Actinomycetes,aminoglycoside N-acetyltransferase AAC(3)-XI,Actinomycetes,Corynebacterium striatum,BM4687,Corynebacterium striatum,BM4687,Corynebacterium striatum BM4687,http://www.wikidata.org/entity/Q10261127
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_004874306.1,NG_052265.1,No,EEQ11435.1,AALD02000008.1,-,4573,5013,+,101.0,541.0,,,,aac(6')_Yersi,2023-11-15.1,Yersinia mollaretii ATCC 43969 aac(6'),aminoglycoside 6'-N-acetyltransferase,,Yersinia mollaretii ATCC 43969,Yersinia mollaretii,aminoglycoside 6'-N-acetyltransferase,Yersinia mollaretii,Yersinia mollaretii ATCC 43969,ATCC 43969,Yersinia mollaretii ATCC 43969,ATCC 43969,Yersinia mollaretii ATCC 43969,http://www.wikidata.org/entity/Q16994539
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_019453091.1,NG_052284.1,Yes,,ALOV01000006.1,+,88679,89119,+,101.0,541.0,,,,aac(6')_Serra,2023-11-15.1,Serratia marcescens W2.3 aac(6'),aminoglycoside 6'-N-acetyltransferase,,Serratia marcescens W2.3,Serratia,aminoglycoside 6'-N-acetyltransferase,Serratia,Serratia marcescens W2.3,W2.3,,,Serratia marcescens W2.3,http://www.wikidata.org/entity/Q140004
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_004937175.1,NG_052389.1,No,EMF04571.1,AORJ01000065.1,-,222016,222456,+,101.0,541.0,,,,aac(6')_Serra,2023-11-15.1,Serratia marcescens VGH107 aac(6'),aminoglycoside 6'-N-acetyltransferase,,Serratia marcescens VGH107,Serratia marcescens,aminoglycoside 6'-N-acetyltransferase,Serratia marcescens,Serratia marcescens VGH107,VGH107,Serratia marcescens VGH107,VGH107,Serratia marcescens VGH107,http://www.wikidata.org/entity/Q140004
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_041036791.1,NG_052449.1,No,BAO35700.1,AP013063.1,+,3877863,3878303,+,101.0,541.0,,,,aac(6')_Serra,2023-11-15.1,Serratia marcescens SM39 aac(6'),aminoglycoside 6'-N-acetyltransferase,,Serratia marcescens SM39,Serratia marcescens,aminoglycoside 6'-N-acetyltransferase,Serratia marcescens,Serratia marcescens SM39,SM39,Serratia marcescens SM39,SM39,Serratia marcescens SM39,http://www.wikidata.org/entity/Q140004
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_021505085.1,NG_052297.1,No,ERH70569.1,AVSR01000023.1,+,98684,99124,+,101.0,541.0,,,,aac(6')_Serra,2023-11-15.1,Serratia marcescens EGD-HP20 aac(6'),aminoglycoside 6'-N-acetyltransferase,,Serratia marcescens EGD-HP20,Serratia,aminoglycoside 6'-N-acetyltransferase,Serratia,Serratia marcescens EGD-HP20,EGD-HP20,Serratia marcescens EGD-HP20,EGD-HP20,Serratia marcescens EGD-HP20,http://www.wikidata.org/entity/Q140004
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_015379140.1,NG_052263.1,No,AGE20052.1,CP003959.1,+,4618984,4619424,+,101.0,541.0,,,,aac(6')_Serra,2023-11-15.1,Serratia marcescens WW4 aac(6'),aminoglycoside 6'-N-acetyltransferase,,Serratia marcescens WW4,Serratia marcescens,aminoglycoside 6'-N-acetyltransferase,Serratia marcescens,Serratia marcescens WW4,WW4,Serratia marcescens WW4,WW4,Serratia marcescens WW4,http://www.wikidata.org/entity/Q140004
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_047729810.1,NG_052471.1,No,AKL42171.1,CP011642.1,-,3247308,3247748,+,101.0,541.0,,,,aac(6')_Serra,2023-11-15.1,Serratia marcescens CAV1492 aac(6'),aminoglycoside 6'-N-acetyltransferase,,Serratia marcescens,Serratia,aminoglycoside 6'-N-acetyltransferase,Serratia,Serratia marcescens,CAV1492,Serratia marcescens,CAV1492,Serratia marcescens CAV1492,http://www.wikidata.org/entity/Q140004
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_060706838.1,NG_052209.1,No,ALE97986.1,CP012685.1,+,3875228,3875668,+,101.0,541.0,,,,aac(6')_Serra,2023-11-15.1,Serratia marcescens SmUNAM836 aac(6'),aminoglycoside 6'-N-acetyltransferase,,Serratia marcescens,Serratia marcescens,aminoglycoside 6'-N-acetyltransferase,Serratia marcescens,Serratia marcescens,SmUNAM836,Serratia marcescens,SmUNAM836,Serratia marcescens SmUNAM836,http://www.wikidata.org/entity/Q140004
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_060560340.1,NG_054690.1,No,ALL39971.1,CP013046.2,+,4807464,4807904,+,101.0,541.0,,,,aac(6')_Serra,2023-11-15.1,Serratia marcescens B3R3 aac(6'),aminoglycoside 6'-N-acetyltransferase,,Serratia marcescens,Serratia marcescens,aminoglycoside 6'-N-acetyltransferase,Serratia marcescens,Serratia marcescens,B3R3,Serratia marcescens,B3R3,Serratia marcescens B3R3,http://www.wikidata.org/entity/Q140004
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_047570454.1,NG_052420.1,No,AUU10860.1,CP026050.1,-,3691825,3692265,+,101.0,541.0,,,,aac(6')_Serra,2023-11-15.1,Serratia marcescens FDAARGOS_65 aac(6'),aminoglycoside 6'-N-acetyltransferase,,Serratia marcescens,Serratia marcescens,aminoglycoside 6'-N-acetyltransferase,Serratia marcescens,Serratia marcescens,FDAARGOS_65,Serratia marcescens,FDAARGOS_65,Serratia marcescens FDAARGOS_65,http://www.wikidata.org/entity/Q140004
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_049646085.1,NG_052198.1,No,CNE19069.1,CPYJ01000001.1,-,698494,698940,+,101.0,547.0,,,,aac(6')_Yersi,2023-11-15.1,Yersinia mollaretii IP22404 aac(6'),aminoglycoside 6'-N-acetyltransferase,,Yersinia mollaretii,Yersinia mollaretii,aminoglycoside 6'-N-acetyltransferase,Yersinia mollaretii,Yersinia mollaretii,IP22404,Yersinia mollaretii,IP22404,Yersinia mollaretii IP22404,http://www.wikidata.org/entity/Q16994539
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_049677835.1,NG_052199.1,No,CNH39072.1,CQBM01000001.1,+,332281,332727,+,101.0,547.0,,,,aac(6')_Yersi,2023-11-15.1,Yersinia mollaretii FE82747 aac(6'),aminoglycoside 6'-N-acetyltransferase,,Yersinia mollaretii,Yersinia mollaretii,aminoglycoside 6'-N-acetyltransferase,Yersinia mollaretii,Yersinia mollaretii,FE82747,Yersinia mollaretii,FE82747,Yersinia mollaretii FE82747,http://www.wikidata.org/entity/Q16994539
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_050141558.1,NG_052200.1,No,CNK13080.1,CQDZ01000001.1,-,141891,142322,+,101.0,532.0,,,,aac(6')_Yersi,2023-11-15.1,Yersinia enterocolitica YE8850 aac(6'),aminoglycoside 6'-N-acetyltransferase,,Yersinia enterocolitica,Yersinia,aminoglycoside 6'-N-acetyltransferase,Yersinia,Yersinia enterocolitica,YE8850,Yersinia enterocolitica,YE8850,Yersinia enterocolitica YE8850,http://www.wikidata.org/entity/Q135177
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_050537864.1,NG_052201.1,No,CQH02469.1,CTIO01000003.1,+,108841,109281,+,101.0,541.0,,,,aac(6')_Yersi,2023-11-15.1,Yersinia mollaretii 107/02 aac(6'),aminoglycoside 6'-N-acetyltransferase,,Yersinia mollaretii,Yersinia mollaretii,aminoglycoside 6'-N-acetyltransferase,Yersinia mollaretii,Yersinia mollaretii,107/02,Yersinia mollaretii,107/02,Yersinia mollaretii 107/02,http://www.wikidata.org/entity/Q16994539
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_025304332.1,NG_052448.1,No,CDG14101.1,HG326223.1,+,3763302,3763742,+,101.0,541.0,,,,aac(6')_Serra,2023-11-15.1,Serratia marcescens subsp. marcescens Db11 aac(6'),aminoglycoside 6'-N-acetyltransferase,,Serratia marcescens subsp. marcescens Db11,Serratia,aminoglycoside 6'-N-acetyltransferase,Serratia,Serratia marcescens subsp. marcescens Db11,Db11,Serratia marcescens subsp. marcescens Db11,Db11,Serratia marcescens subsp. marcescens Db11,http://www.wikidata.org/entity/Q140004
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_033644545.1,NG_052450.1,No,ETX42903.1,JAPC01000008.1,-,132125,132565,+,101.0,541.0,,,,aac(6')_Serra,2023-11-15.1,Serratia marcescens BIDMC 50 aac(6'),aminoglycoside 6'-N-acetyltransferase,,Serratia marcescens BIDMC 50,Serratia,aminoglycoside 6'-N-acetyltransferase,Serratia,Serratia marcescens BIDMC 50,BIDMC 50,Serratia marcescens BIDMC 50,BIDMC 50,Serratia marcescens BIDMC 50,http://www.wikidata.org/entity/Q140004
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_033636082.1,NG_052451.1,No,ETX44633.1,JAPD01000005.1,+,274590,275030,+,101.0,541.0,,,,aac(6')_Serra,2023-11-15.1,Serratia marcescens BIDMC 44 aac(6'),aminoglycoside 6'-N-acetyltransferase,,Serratia marcescens BIDMC 44,Serratia marcescens,aminoglycoside 6'-N-acetyltransferase,Serratia marcescens,Serratia marcescens BIDMC 44,BIDMC 44,Serratia marcescens BIDMC 44,BIDMC 44,Serratia marcescens BIDMC 44,http://www.wikidata.org/entity/Q140004
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_033651281.1,NG_052178.1,No,EZQ63051.1,JJMZ01000006.1,-,219059,219499,+,101.0,541.0,,,,aac(6')_Serra,2023-11-15.1,Serratia marcescens BIDMC 81 aac(6'),aminoglycoside 6'-N-acetyltransferase,,Serratia marcescens BIDMC 81,Serratia,aminoglycoside 6'-N-acetyltransferase,Serratia,Serratia marcescens BIDMC 81,BIDMC 81,Serratia marcescens BIDMC 81,BIDMC 81,Serratia marcescens BIDMC 81,http://www.wikidata.org/entity/Q140004
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_033639326.1,NG_052346.1,No,KFD15114.1,JMPQ01000033.1,-,222939,223379,+,101.0,541.0,,,,aac(6')_Serra,2023-11-15.1,Serratia marcescens subsp. marcescens ATCC 13880 aac(6'),aminoglycoside 6'-N-acetyltransferase,,Serratia marcescens subsp. marcescens ATCC 13880,Enterobacterales,aminoglycoside 6'-N-acetyltransferase,Enterobacterales,Serratia marcescens subsp. marcescens ATCC 13880,ATCC 13880,Serratia marcescens subsp. marcescens ATCC 13880,ATCC 13880,Serratia marcescens subsp. marcescens ATCC 13880,http://www.wikidata.org/entity/Q140004
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_033654785.1,NG_052345.1,No,KFB54973.1,JPOB01000020.1,+,2497,2937,+,101.0,541.0,,,,aac(6')_Serra,2023-11-15.1,Serratia marcescens YDC563 aac(6'),aminoglycoside 6'-N-acetyltransferase,,Serratia marcescens,Serratia,aminoglycoside 6'-N-acetyltransferase,Serratia,Serratia marcescens,YDC563,Serratia marcescens,YDC563,Serratia marcescens YDC563,http://www.wikidata.org/entity/Q140004
