allele,gene_family,whitelisted_taxa,product_name,scope,type,subtype,class,subclass,refseq_protein_accession,refseq_nucleotide_accession,curated_refseq_start,genbank_protein_accession,genbank_nucleotide_accession,genbank_strand,genbank_start,genbank_stop,refseq_strand,refseq_start,refseq_stop,pubmed_reference,blacklisted_taxa,synonyms,hierarchy_node,db_version,refseq_parent_taxon,refseq_protein,refseq_parent_taxon2,refseq_gene,refseq_protein2,refseq_genome,refseq_organism,refseq_tax_id,genbank_organism,genbank_strain,genbank_organism2,genbank_strain2,genbank_tax_id,strain,parent_taxon
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_015379140.1,NG_052263.1,No,AGE20052.1,CP003959.1,+,4618984,4619424,+,101.0,541.0,,,,aac(6')_Serra,2024-01-31.1,Serratia marcescens,aminoglycoside 6'-N-acetyltransferase,Serratia marcescens,Serratia marcescens WW4 aac(6'),aminoglycoside 6'-N-acetyltransferase,,Serratia marcescens WW4,taxon:435998,Serratia marcescens WW4,WW4,Serratia marcescens WW4,WW4,taxon:435998,Serratia marcescens WW4,http://www.wikidata.org/entity/Q140004
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_025304332.1,NG_052448.1,No,CDG14101.1,HG326223.1,+,3763302,3763742,+,101.0,541.0,,,,aac(6')_Serra,2024-01-31.1,Serratia,aminoglycoside 6'-N-acetyltransferase,Serratia,Serratia marcescens subsp. marcescens Db11 aac(6'),aminoglycoside 6'-N-acetyltransferase,,Serratia marcescens subsp. marcescens Db11,taxon:273526,Serratia marcescens subsp. marcescens Db11,Db11,Serratia marcescens subsp. marcescens Db11,Db11,taxon:273526,Serratia marcescens subsp. marcescens Db11,http://www.wikidata.org/entity/Q140004
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_033644545.1,NG_052450.1,No,ETX42903.1,JAPC01000008.1,-,132125,132565,+,101.0,541.0,,,,aac(6')_Serra,2024-01-31.1,Serratia,aminoglycoside 6'-N-acetyltransferase,Serratia,Serratia marcescens BIDMC 50 aac(6'),aminoglycoside 6'-N-acetyltransferase,,Serratia marcescens BIDMC 50,taxon:1400187,Serratia marcescens BIDMC 50,BIDMC 50,Serratia marcescens BIDMC 50,BIDMC 50,taxon:1400187,Serratia marcescens BIDMC 50,http://www.wikidata.org/entity/Q140004
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_033636082.1,NG_052451.1,No,ETX44633.1,JAPD01000005.1,+,274590,275030,+,101.0,541.0,,,,aac(6')_Serra,2024-01-31.1,Serratia marcescens,aminoglycoside 6'-N-acetyltransferase,Serratia marcescens,Serratia marcescens BIDMC 44 aac(6'),aminoglycoside 6'-N-acetyltransferase,,Serratia marcescens BIDMC 44,taxon:1400186,Serratia marcescens BIDMC 44,BIDMC 44,Serratia marcescens BIDMC 44,BIDMC 44,taxon:1400186,Serratia marcescens BIDMC 44,http://www.wikidata.org/entity/Q140004
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_033651281.1,NG_052178.1,No,EZQ63051.1,JJMZ01000006.1,-,219059,219499,+,101.0,541.0,,,,aac(6')_Serra,2024-01-31.1,Serratia,aminoglycoside 6'-N-acetyltransferase,Serratia,Serratia marcescens BIDMC 81 aac(6'),aminoglycoside 6'-N-acetyltransferase,,Serratia marcescens BIDMC 81,taxon:1445865,Serratia marcescens BIDMC 81,BIDMC 81,Serratia marcescens BIDMC 81,BIDMC 81,taxon:1445865,Serratia marcescens BIDMC 81,http://www.wikidata.org/entity/Q140004
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_033639326.1,NG_052346.1,No,KFD15114.1,JMPQ01000033.1,-,222939,223379,+,101.0,541.0,,,,aac(6')_Serra,2024-01-31.1,Enterobacterales,aminoglycoside 6'-N-acetyltransferase,Enterobacterales,Serratia marcescens subsp. marcescens ATCC 13880 aac(6'),aminoglycoside 6'-N-acetyltransferase,,Serratia marcescens subsp. marcescens ATCC 13880,taxon:911022,Serratia marcescens subsp. marcescens ATCC 13880,ATCC 13880,Serratia marcescens subsp. marcescens ATCC 13880,ATCC 13880,taxon:911022,Serratia marcescens subsp. marcescens ATCC 13880,http://www.wikidata.org/entity/Q140004
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_019655053.1,NG_052534.1,Yes,,KB907453.1,+,470516,471070,+,101.0,655.0,,,,aac(6')-set_A,2024-01-31.1,Variovorax,aminoglycoside 6'-N-acetyltransferase,Variovorax,Variovorax paradoxus 110B aac(6'),aminoglycoside 6'-N-acetyltransferase,,Variovorax paradoxus 110B,taxon:1157708,,,Variovorax paradoxus 110B,110B,taxon:1157708,Variovorax paradoxus 110B,http://www.wikidata.org/entity/Q16993380
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_038879528.1,NG_052292.1,Yes,,KE375664.1,-,119655,120095,+,101.0,541.0,,,,aac(6')_Serra,2024-01-31.1,Serratia,aminoglycoside 6'-N-acetyltransferase,Serratia,Serratia marcescens MC620 aac(6'),aminoglycoside 6'-N-acetyltransferase,,Serratia marcescens MC620,taxon:1333585,,,Serratia marcescens MC620,MC620,taxon:1333585,Serratia marcescens MC620,http://www.wikidata.org/entity/Q140004
aacA16,aac(6'),,AAC(6')-Ia family aminoglycoside 6'-N-acetyltransferase AacA16,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_001109644.1,NG_052380.1,No,ADX02779.1,CP001921.1,+,1247288,1247839,+,101.0,652.0,,,,aacA16,2024-01-31.1,Gammaproteobacteria,AAC(6')-Ia family aminoglycoside 6'-N-acetyltransferase AacA16,Gammaproteobacteria,Acinetobacter baumannii 1656-2 aac(6'),AAC(6')-Ia family aminoglycoside 6'-N-acetyltransferase AacA16,,Acinetobacter baumannii 1656-2,taxon:696749,Acinetobacter baumannii 1656-2,1656-2,Acinetobacter baumannii 1656-2,1656-2,taxon:696749,Acinetobacter baumannii 1656-2,http://www.wikidata.org/entity/Q3241189
,aac(6')-31,,aminoglycoside N-acetyltransferase AAC(6')-31,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_054914207.1,NG_052210.1,Yes,,BCBD01000273.1,+,1651,2205,+,101.0,655.0,,,,aac(6')-31,2024-01-31.1,Pseudomonas sp. NBRC 111127,aminoglycoside N-acetyltransferase AAC(6')-31,Pseudomonas sp. NBRC 111127,Pseudomonas sp. NBRC 111127 aac(6')-31,aminoglycoside N-acetyltransferase AAC(6')-31,,Pseudomonas sp. NBRC 111127,taxon:1661042,,,Pseudomonas sp. NBRC 111127,NBRC 111127,taxon:1661042,Pseudomonas sp. NBRC 111127,http://www.wikidata.org/entity/Q21365165
,aac(6')-E141,,aminoglycoside 6'-N-acetyltransferase AAC(6')-E141,core,AMR,AMR,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN,WP_026868862.1,NG_242278.1,Yes,,AUHM01000001.1,-,638265,638711,+,101.0,547.0,37537271,,,aac(6')_E141,2024-01-31.1,Inquilinus limosus,aminoglycoside 6'-N-acetyltransferase AAC(6')-E141,Inquilinus limosus,Inquilinus limosus DSM 16000 aac(6')-E141,aminoglycoside 6'-N-acetyltransferase AAC(6')-E141,,Inquilinus limosus DSM 16000,taxon:1122125,,,Inquilinus limosus DSM 16000,DSM 16000,taxon:1122125,Inquilinus limosus DSM 16000,http://www.wikidata.org/entity/Q16991964
,aac(6')-E606,,aminoglycoside 6'-N-acetyltransferase AAC(6')-E606,core,AMR,AMR,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN,WP_000405752.1,NG_242167.1,No,EIK27843.1,AHBU01000053.1,-,1297,1740,+,101.0,544.0,37537271,,,aac(6')_E606,2024-01-31.1,Staphylococcus aureus,aminoglycoside 6'-N-acetyltransferase AAC(6')-E606,Staphylococcus aureus,Staphylococcus aureus subsp. aureus VRS11a aac(6')-E606,aminoglycoside 6'-N-acetyltransferase AAC(6')-E606,,Staphylococcus aureus subsp. aureus VRS11a,taxon:1116224,Staphylococcus aureus subsp. aureus VRS11a,VRS11a,Staphylococcus aureus subsp. aureus VRS11a,VRS11a,taxon:1116224,Staphylococcus aureus subsp. aureus VRS11a,http://www.wikidata.org/entity/Q188121
,aac(6')-E657,,aminoglycoside 6'-N-acetyltransferase AAC(6')-E657,core,AMR,AMR,AMINOGLYCOSIDE,TOBRAMYCIN,WP_024566461.1,NG_242169.1,No,AIL47505.1,CP007547.1,+,3983347,3983895,+,101.0,649.0,37537271,,,aac(6')_E657,2024-01-31.1,Elizabethkingia anophelis,aminoglycoside 6'-N-acetyltransferase AAC(6')-E657,Elizabethkingia anophelis,Elizabethkingia anophelis NUHP1 aac(6')-E657,aminoglycoside 6'-N-acetyltransferase AAC(6')-E657,,Elizabethkingia anophelis NUHP1,taxon:1338011,Elizabethkingia anophelis NUHP1,NUHP1,Elizabethkingia anophelis NUHP1,NUHP1,taxon:1338011,Elizabethkingia anophelis NUHP1,http://www.wikidata.org/entity/Q24976335
,aac(6')-I,,AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN,WP_017395772.1,NG_052255.1,Yes,,AMJB01000211.1,+,19288,19725,+,101.0,538.0,,,,aacA-ACI1,2024-01-31.1,Acinetobacter haemolyticus,AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase,Acinetobacter haemolyticus,Acinetobacter haemolyticus TG19602 aac(6')-I,AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase,,Acinetobacter haemolyticus TG19602,taxon:1221298,,,Acinetobacter haemolyticus TG19602,TG19602,taxon:1221298,Acinetobacter haemolyticus TG19602,http://www.wikidata.org/entity/Q16824990
,aac(6')-I,,AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN,WP_005062866.1,NG_052397.1,No,ENW03190.1,APQL01000012.1,-,103335,103772,+,101.0,538.0,,,,aac(6')_Acine,2024-01-31.1,Acinetobacter beijerinckii,AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase,Acinetobacter beijerinckii,Acinetobacter beijerinckii CIP 110307 aac(6')-I,AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase,,Acinetobacter beijerinckii CIP 110307,taxon:1217648,Acinetobacter beijerinckii CIP 110307,CIP 110307,Acinetobacter beijerinckii CIP 110307,CIP 110307,taxon:1217648,Acinetobacter beijerinckii CIP 110307,http://www.wikidata.org/entity/Q16824960
,aac(6')-I,,AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN,WP_005091170.1,NG_052398.1,No,ENW19086.1,APQR01000012.1,-,358378,358815,+,101.0,538.0,,,,aacA-ACI1,2024-01-31.1,Acinetobacter haemolyticus,AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase,Acinetobacter haemolyticus,Acinetobacter haemolyticus NIPH 261 aac(6')-I,AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase,,Acinetobacter haemolyticus NIPH 261,taxon:1217986,Acinetobacter haemolyticus NIPH 261,NIPH 261,Acinetobacter haemolyticus NIPH 261,NIPH 261,taxon:1217986,Acinetobacter haemolyticus NIPH 261,http://www.wikidata.org/entity/Q16824990
,aac(6')-I,,AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN,WP_032874497.1,NG_052457.1,No,EXB26010.1,JEWN01000004.1,-,98558,98998,+,101.0,541.0,,,,aacA-ACI5,2024-01-31.1,Acinetobacter baumannii,AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase,Acinetobacter baumannii,Acinetobacter baumannii 1437282 aac(6')-I,AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase,,Acinetobacter baumannii 1437282,taxon:1310638,Acinetobacter baumannii 1437282,1437282,Acinetobacter baumannii 1437282,1437282,taxon:1310638,Acinetobacter baumannii 1437282,http://www.wikidata.org/entity/Q3241189
,aac(6')-I,,AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN,WP_032870384.1,NG_052458.1,No,EXB46212.1,JEWS01000006.1,+,145408,145848,+,101.0,541.0,,,,aacA-ACI5,2024-01-31.1,Acinetobacter calcoaceticus/baumannii complex,AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase,Acinetobacter calcoaceticus/baumannii complex,Acinetobacter baumannii 146457 aac(6')-I,AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase,,Acinetobacter baumannii 146457,taxon:1310623,Acinetobacter baumannii 146457,146457,Acinetobacter baumannii 146457,146457,taxon:1310623,Acinetobacter baumannii 146457,http://www.wikidata.org/entity/Q3241189
,aac(6')-I,,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_002289795.1,NG_052371.1,No,EAN08580.1,AAAK03000130.1,+,1064,1612,+,101.0,649.0,,,,aacA-ENT1,2024-01-31.1,Enterococcus,aminoglycoside N-acetyltransferase AAC(6')-Ii,Enterococcus,Enterococcus faecium DO aac(6')-I,aminoglycoside 6'-N-acetyltransferase,,Enterococcus faecium DO,taxon:333849,Enterococcus faecium DO,DO,Enterococcus faecium DO,DO,taxon:333849,Enterococcus faecium DO,http://www.wikidata.org/entity/Q140010
,aac(6')-I,,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_002293569.1,NG_052275.1,No,EFF36162.1,ABQA01000128.1,+,7329,7877,+,101.0,649.0,,,,aacA-ENT1,2024-01-31.1,Enterococcus,aminoglycoside N-acetyltransferase AAC(6')-Ii,Enterococcus,Enterococcus faecium E980 aac(6')-I,aminoglycoside 6'-N-acetyltransferase,,Enterococcus faecium E980,taxon:529885,Enterococcus faecium E980,E980,Enterococcus faecium E980,E980,taxon:529885,Enterococcus faecium E980,http://www.wikidata.org/entity/Q140010
,aac(6')-I,,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_002293989.1,NG_052140.1,No,EEI59381.1,ACHL01000139.1,-,31,579,+,101.0,649.0,,,,aacA-ENT1,2024-01-31.1,Enterococcus,aminoglycoside N-acetyltransferase AAC(6')-Ii,Enterococcus,Enterococcus faecium TX1330 aac(6')-I,aminoglycoside 6'-N-acetyltransferase,,Enterococcus faecium TX1330,taxon:525279,Enterococcus faecium TX1330,TX1330,Enterococcus faecium TX1330,TX1330,taxon:525279,Enterococcus faecium TX1330,http://www.wikidata.org/entity/Q140010
,aac(6')-I,,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_019722502.1,NG_052504.1,Yes,,AFWZ01000007.1,-,23326,23868,+,101.0,643.0,,,,aacA-ENT4,2024-01-31.1,Enterococcus mundtii,aminoglycoside N-acetyltransferase AAC(6')-Ii,Enterococcus mundtii,Enterococcus mundtii crl1656 aac(6')-I,aminoglycoside 6'-N-acetyltransferase,,Enterococcus mundtii crl1656,taxon:1072576,,,Enterococcus mundtii crl1656,crl1656,taxon:1072576,Enterococcus mundtii crl1656,http://www.wikidata.org/entity/Q16981659
,aac(6')-I,,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_016172918.1,NG_052169.1,No,EOT40837.1,AHYR01000006.1,-,113203,113760,+,101.0,658.0,,,,aac(6')_Entco,2024-01-31.1,Enterococcus,aminoglycoside 6'-N-acetyltransferase,Enterococcus,Enterococcus dispar ATCC 51266 aac(6')-I,aminoglycoside 6'-N-acetyltransferase,,Enterococcus dispar ATCC 51266,taxon:1139219,Enterococcus dispar ATCC 51266,ATCC 51266,Enterococcus dispar ATCC 51266,ATCC 51266,taxon:1139219,Enterococcus dispar ATCC 51266,http://www.wikidata.org/entity/Q25842112
,aac(6')-I,,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_016177698.1,NG_052168.1,No,EOT29546.1,AHYU01000052.1,+,34229,34780,+,101.0,652.0,,,,aacA-ENT3,2024-01-31.1,Enterococcus durans,aminoglycoside N-acetyltransferase AAC(6')-Ii,Enterococcus durans,Enterococcus durans ATCC 6056 aac(6')-I,aminoglycoside 6'-N-acetyltransferase,,Enterococcus durans ATCC 6056,taxon:1140001,Enterococcus durans ATCC 6056,ATCC 6056,Enterococcus durans ATCC 6056,ATCC 6056,taxon:1140001,Enterococcus durans ATCC 6056,http://www.wikidata.org/entity/Q5380224
,aac(6')-I,,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_010736157.1,NG_052162.1,No,EOH60829.1,AJAH01000025.1,-,270875,271417,+,101.0,643.0,,,,aacA-ENT4,2024-01-31.1,Enterococcus mundtii,aminoglycoside N-acetyltransferase AAC(6')-Ii,Enterococcus mundtii,Enterococcus mundtii ATCC 882 aac(6')-I,aminoglycoside 6'-N-acetyltransferase,,Enterococcus mundtii ATCC 882,taxon:1158598,Enterococcus mundtii ATCC 882,ATCC 882,Enterococcus mundtii ATCC 882,ATCC 882,taxon:1158598,Enterococcus mundtii ATCC 882,http://www.wikidata.org/entity/Q16981659
,aac(6')-I,,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_010752789.1,NG_052163.1,No,EOH90388.1,AJAP01000004.1,+,73451,74014,+,101.0,664.0,,,,aac(6')_Entco,2024-01-31.1,Enterococcus asini,aminoglycoside 6'-N-acetyltransferase,Enterococcus asini,Enterococcus asini ATCC 700915 aac(6')-I,aminoglycoside 6'-N-acetyltransferase,,Enterococcus asini ATCC 700915,taxon:1158606,Enterococcus asini ATCC 700915,ATCC 700915,Enterococcus asini ATCC 700915,ATCC 700915,taxon:1158606,Enterococcus asini ATCC 700915,http://www.wikidata.org/entity/Q25842101
,aac(6')-I,,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_010768325.1,NG_052165.1,No,EOL44032.1,AJAT01000014.1,+,73253,73816,+,101.0,664.0,,,,aac(6')_Entco,2024-01-31.1,Enterococcus phoeniculicola,aminoglycoside 6'-N-acetyltransferase,Enterococcus phoeniculicola,Enterococcus phoeniculicola ATCC BAA-412 aac(6')-I,aminoglycoside 6'-N-acetyltransferase,,Enterococcus phoeniculicola ATCC BAA-412,taxon:1158610,Enterococcus phoeniculicola ATCC BAA-412,ATCC BAA-412,Enterococcus phoeniculicola ATCC BAA-412,ATCC BAA-412,taxon:1158610,Enterococcus phoeniculicola ATCC BAA-412,http://www.wikidata.org/entity/Q25842125
